author,exclusive,ingredients,master,num_tried,picture,rating,title
kacaiee,False,"鸡腿,大蒜,大葱,橄榄油,香叶,盐,薄荷叶",False,3480,True,7.5,香蒜蕃茄烤鸡腿
一直向前的妞,False,"鸡腿,青椒,老抽,生抽,盐,糖,淀粉",False,3216,True,8.0,青椒炒鸡腿肉（大厨级别）
Grace格小姐,True,"柠檬,大蒜,海盐,迷迭香,黑胡椒,百里香,橄榄油",False,2826,True,8.2,超详细 入味马杀鸡迷迭香烤鸡腿（翅）宴客必备
機智如我明明醬,False,"土豆,蒜粒,盐,老抽,水",False,3181,True,8.1,土豆焖鸡腿
YiranLi,False,"大蒜,姜片,蚝油,生抽,冰糖,米酒,油",False,3068,True,7.8,照烧鸡腿
菀菀菀菀菀子酱,True,,False,2631,True,8.2,红烧鸡腿（好吃到没有朋友
ELLEN私厨,True,"小番茄,小土豆,胡萝卜,洋葱,大蒜,橄榄油,盐",True,2308,True,7.6,【法式烤鸡腿】
大星大米随便你,True,"鸡胸,蒜,黑胡椒,蒸鱼豉油,淀粉",True,2014,True,8.1,蒜蓉蒸鸡胸（鸡腿）
粽粽粽粽粽,True,"鸡腿肉,盐,孜然,温水",False,1918,False,8.0,新奥尔良烤鸡腿土豆
江安然_Elly,False,"土豆,料酒,蒜,盐,豆瓣酱,干辣椒",False,1908,True,8.0,红烧土豆炖鸡腿
云淡风清78,False,"生抽,醋,蚝油,糖,盐,料酒,葱姜蒜,小米椒",False,1519,True,7.8,家常口水鸡（鸡腿版）
菜小叶c,False,"鸡腿,鸡蛋,面粉,姜蓉,蚝油,生抽,黑胡椒,面包糠",False,1536,False,8.1,脆皮烤鸡腿
Jean黄靖,False,"酱油,蚝油,孜然粉,辣椒粉,食用油,葱,姜,蒜,欧芹",False,1257,True,8.1,专业烤鸡腿二十年
姜小不够辣,False,"鸡腿,清水",False,1207,True,8.1,新奥尔良烤鸡腿
apple爱自己,False,"生抽,老抽,黑胡椒,盐,白糖,料酒,葱,洋葱",False,1266,True,8.2,浓香照烧黑椒鸡腿
王光光光光,True,"鸡胸肉,面粉,鸡蛋,生抽,糖,鸡蛋,洋葱,蛋黄酱,圣女果",True,121,False,8.6,本格西式鸡胸肉
Sunny_Kreglo,True,"鸡胸,番茄,洋葱,橄榄油,蒜末",True,113,True,8.4,【健康三餐】番茄口蘑蒸鸡胸
