author,exclusive,ingredients,master,num_tried,picture,rating,title
日食记,False,"青豆,基围虾,鸡蛋,培根,洋葱,番茄,盐,番茄酱",True,131,True,7.7,【番茄虾仁炒饭】
伊莎貝拉,False,"鸡蛋,虾仁,料酒,精盐,白胡椒粉,水淀粉,黑芝麻",False,130,False,8.6,虾仁跑蛋
敖羽星,True,"西芹,洋葱,辣椒,蒜头,腰果,盐,蚝油,鸡精,水淀粉,料酒,食用油",True,130,True,8.4,西芹腰果炒鲜瑶柱（虾仁）---在家也能做出五星级酒店的菜肴
走路带风身后有云,False,"鸡蛋,西兰花,虾仁,内酯豆腐",False,127,True,8.0,虾仁西兰花豆腐蒸蛋！爆炸好吃！
小鹿Echo,True,"西兰花,虾仁,鸡蛋,生抽,白胡椒,盐",False,125,True,7.6,虾仁西兰花豆腐鸡蛋羹
彩虹早餐,False,"芦笋,虾仁,鸡蛋,牛奶,盐,黑胡椒粉",False,125,True,7.9,芦笋虾仁抱蛋
小拉的小可乐儿,False,,False,113,True,9.2,翻滚吧💥虾仁咖喱炒饭
厨娘冰糖小靖,False,"冬瓜,虾仁,生姜,耗油,盐",False,122,True,8.1,虾仁烧冬瓜「低脂又下饭」
mOco,False,"大米,虾仁,香菇,盐,香葱,姜丝,鸡精",False,119,False,7.2,香菇虾仁粥
懒饭App,True,"虾仁,盐,胡椒粉,清水,淀粉,油,番茄酱,糖,盐,清水,葱末,蒜末,油",True,117,True,7.7,茄汁虾仁
apple爱自己,False,"荷兰豆,虾,蒜头,姜,干辣椒,鸡蛋,生粉,盐",False,117,False,7.6,荷兰豆虾仁
Yifan的厨房,False,"牛油果,虾仁,番茄,橄榄油,生姜,大蒜,孜然粉,辣椒粉,白芝麻,柠檬,芝麻油,香菜",False,117,True,8.6,牛油果虾仁沙拉
【奇跡】,False,"虾仁,黄瓜,姜,生抽,料酒,生粉,椒盐,盐",False,116,False,7.7,青瓜虾仁
乌兰图雅小时光,True,"西红柿,菜花,虾仁,番茄沙司,盐,白糖,醋,料酒,水淀粉",False,115,False,6.6,西红柿虾仁炒菜花
Jill要热爱生活,False,"秋葵,大蒜,盐,橄榄油",False,115,True,7.4,彩椒秋葵炒虾仁
